/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-1 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 1 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-1', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=1, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3094 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.031
U 2 | E 2 | F 000648 | FPS 3156 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.800
U 3 | E 3 | F 000972 | FPS 3274 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.028
U 4 | E 4 | F 001296 | FPS 3031 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.019
U 5 | E 5 | F 001620 | FPS 3134 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 6 | E 6 | F 001944 | FPS 3154 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.006
U 7 | E 7 | F 002268 | FPS 1886 | D 0 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.020
U 8 | E 8 | F 002504 | FPS 1972 | D 0 | rR:μσmM 0.07 0.69 0.00 10.00 | pL 0.020
U 9 | E 9 | F 002828 | FPS 2637 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 10 | E 10 | F 003152 | FPS 2512 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 11 | E 11 | F 003476 | FPS 2982 | D 1 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.020
U 12 | E 12 | F 003687 | FPS 2196 | D 1 | rR:μσmM 0.07 0.71 0.00 10.00 | pL 0.030
U 13 | E 13 | F 004011 | FPS 2663 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.029
U 14 | E 14 | F 004335 | FPS 3103 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.056
U 15 | E 15 | F 004659 | FPS 3293 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.001
U 16 | E 16 | F 004983 | FPS 3178 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.012
U 17 | E 17 | F 005307 | FPS 3195 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 18 | E 18 | F 005631 | FPS 3225 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 19 | E 19 | F 005955 | FPS 3247 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 20 | E 20 | F 006279 | FPS 3229 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 21 | E 21 | F 006603 | FPS 3116 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 22 | E 22 | F 006927 | FPS 3140 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.000
U 23 | E 23 | F 007167 | FPS 3193 | D 2 | rR:μσmM 0.06 0.67 0.00 10.00 | pL 0.020
U 24 | E 24 | F 007353 | FPS 2937 | D 2 | rR:μσmM 0.09 0.77 0.00 10.00 | pL 0.020
U 25 | E 25 | F 007677 | FPS 3270 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 26 | E 26 | F 008001 | FPS 3194 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.006
U 27 | E 27 | F 008325 | FPS 2965 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 28 | E 28 | F 008649 | FPS 3181 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 29 | E 29 | F 008973 | FPS 3169 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 30 | E 30 | F 009187 | FPS 3042 | D 3 | rR:μσmM 0.07 0.72 0.00 10.00 | pL 0.042
U 31 | E 31 | F 009511 | FPS 3133 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 32 | E 32 | F 009835 | FPS 3176 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 33 | E 33 | F 010159 | FPS 3217 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.005
U 34 | E 34 | F 010483 | FPS 3146 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.035
U 35 | E 35 | F 010807 | FPS 3179 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 36 | E 36 | F 011131 | FPS 3173 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 37 | E 37 | F 011455 | FPS 3080 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 38 | E 38 | F 011779 | FPS 3107 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.020
U 39 | E 39 | F 012103 | FPS 3190 | D 4 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 40 | E 40 | F 012427 | FPS 3160 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
U 41 | E 41 | F 012510 | FPS 2522 | D 4 | rR:μσmM 0.19 1.15 0.00 10.00 | pL 0.015
