/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-5 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 5 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-5', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=5, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3004 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.029
U 2 | E 2 | F 000648 | FPS 3069 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.147
U 3 | E 3 | F 000972 | FPS 2949 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.022
U 4 | E 4 | F 001296 | FPS 3067 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.017
U 5 | E 5 | F 001620 | FPS 3007 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 6 | E 6 | F 001944 | FPS 3188 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 7 | E 7 | F 002268 | FPS 3077 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.006
U 8 | E 8 | F 002592 | FPS 3044 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.005
U 9 | E 9 | F 002916 | FPS 3150 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 10 | E 10 | F 003240 | FPS 3157 | D 1 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.010
U 11 | E 11 | F 003564 | FPS 3074 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.025
U 12 | E 12 | F 003778 | FPS 3091 | D 1 | rR:μσmM 0.07 0.72 0.00 10.00 | pL 0.010
U 13 | E 13 | F 004102 | FPS 3043 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 14 | E 14 | F 004426 | FPS 3191 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.029
U 15 | E 15 | F 004648 | FPS 2868 | D 1 | rR:μσmM 0.08 0.72 0.00 10.00 | pL 0.025
U 16 | E 16 | F 004972 | FPS 2892 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 17 | E 17 | F 005296 | FPS 2894 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 18 | E 18 | F 005620 | FPS 2982 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.047
U 19 | E 19 | F 005944 | FPS 2875 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 20 | E 20 | F 006268 | FPS 2795 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.026
U 21 | E 21 | F 006592 | FPS 2855 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.035
U 22 | E 22 | F 006916 | FPS 2885 | D 2 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.011
U 23 | E 23 | F 007240 | FPS 2966 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.005
U 24 | E 24 | F 007564 | FPS 2916 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 25 | E 25 | F 007888 | FPS 2923 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 26 | E 26 | F 008212 | FPS 2950 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 27 | E 27 | F 008387 | FPS 2743 | D 2 | rR:μσmM 0.09 0.79 0.00 10.00 | pL 0.010
U 28 | E 28 | F 008711 | FPS 2902 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 29 | E 29 | F 009035 | FPS 2856 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.019
U 30 | E 30 | F 009126 | FPS 2425 | D 3 | rR:μσmM 0.18 1.10 0.00 10.00 | pL 0.014
U 31 | E 31 | F 009347 | FPS 2641 | D 3 | rR:μσmM 0.07 0.71 0.00 10.00 | pL 0.066
U 32 | E 32 | F 009671 | FPS 2906 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.042
U 33 | E 33 | F 009995 | FPS 2868 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 34 | E 34 | F 010319 | FPS 2794 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
