/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-3 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 3 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-3', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=3, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 2904 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.029
U 2 | E 2 | F 000648 | FPS 3140 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.368
U 3 | E 3 | F 000972 | FPS 3063 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.035
U 4 | E 4 | F 001296 | FPS 2999 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.017
U 5 | E 5 | F 001410 | FPS 2707 | D 0 | rR:μσmM 0.14 0.98 0.00 10.00 | pL 0.040
U 6 | E 6 | F 001734 | FPS 3056 | D 0 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.052
U 7 | E 7 | F 002058 | FPS 3032 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.011
U 8 | E 8 | F 002382 | FPS 3125 | D 0 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.020
U 9 | E 9 | F 002612 | FPS 3106 | D 0 | rR:μσmM 0.06 0.68 0.00 10.00 | pL 0.010
U 10 | E 10 | F 002936 | FPS 3080 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 11 | E 11 | F 003260 | FPS 2885 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.030
U 12 | E 12 | F 003391 | FPS 2975 | D 1 | rR:μσmM 0.12 0.92 0.00 10.00 | pL 0.015
U 13 | E 13 | F 003715 | FPS 3066 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 14 | E 14 | F 004039 | FPS 3118 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 15 | E 15 | F 004157 | FPS 2814 | D 1 | rR:μσmM 0.14 0.96 0.00 10.00 | pL 0.074
U 16 | E 16 | F 004481 | FPS 3061 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.036
U 17 | E 17 | F 004746 | FPS 2998 | D 1 | rR:μσmM 0.06 0.65 0.00 10.00 | pL 0.011
U 18 | E 18 | F 005070 | FPS 3052 | D 1 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.062
U 19 | E 19 | F 005394 | FPS 2827 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 20 | E 20 | F 005718 | FPS 2847 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.041
U 21 | E 21 | F 006042 | FPS 2833 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 22 | E 22 | F 006366 | FPS 2766 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.035
U 23 | E 23 | F 006690 | FPS 2866 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 24 | E 24 | F 007014 | FPS 2942 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 25 | E 25 | F 007338 | FPS 2927 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 26 | E 26 | F 007602 | FPS 2855 | D 2 | rR:μσmM 0.06 0.65 0.00 10.00 | pL 0.025
U 27 | E 27 | F 007926 | FPS 2919 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 28 | E 28 | F 008250 | FPS 2840 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 29 | E 29 | F 008574 | FPS 2839 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.006
U 30 | E 30 | F 008898 | FPS 2883 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 31 | E 31 | F 009222 | FPS 2747 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 32 | E 32 | F 009546 | FPS 2935 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.051
U 33 | E 33 | F 009870 | FPS 2868 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 34 | E 34 | F 010193 | FPS 2807 | D 3 | rR:μσmM 0.05 0.59 0.00 10.00 | pL 0.005
U 35 | E 35 | F 010517 | FPS 2832 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 36 | E 36 | F 010841 | FPS 2933 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 37 | E 37 | F 011165 | FPS 2798 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 38 | E 38 | F 011489 | FPS 2763 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.005
U 39 | E 39 | F 011813 | FPS 2819 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 40 | E 40 | F 012137 | FPS 2733 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 41 | E 41 | F 012461 | FPS 2618 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 42 | E 42 | F 012785 | FPS 2909 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 43 | E 43 | F 013109 | FPS 2878 | D 4 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 44 | E 44 | F 013433 | FPS 2880 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 45 | E 45 | F 013757 | FPS 2950 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 46 | E 46 | F 014081 | FPS 2943 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 47 | E 47 | F 014405 | FPS 2878 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 48 | E 48 | F 014729 | FPS 2984 | D 5 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.005
U 49 | E 49 | F 015053 | FPS 2700 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.039
U 50 | E 50 | F 015377 | FPS 2965 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 51 | E 51 | F 015701 | FPS 2934 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.000
U 52 | E 52 | F 016025 | FPS 2863 | D 5 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.030
U 53 | E 53 | F 016349 | FPS 2858 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 54 | E 54 | F 016673 | FPS 2930 | D 5 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 55 | E 55 | F 016997 | FPS 2877 | D 5 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
U 56 | E 56 | F 017321 | FPS 2909 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.019
U 57 | E 57 | F 017645 | FPS 2840 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 58 | E 58 | F 017969 | FPS 2745 | D 6 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 59 | E 59 | F 018293 | FPS 2868 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 60 | E 60 | F 018617 | FPS 2811 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 61 | E 61 | F 018941 | FPS 2774 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 62 | E 62 | F 019265 | FPS 2883 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 63 | E 63 | F 019589 | FPS 2818 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.005
U 64 | E 64 | F 019791 | FPS 2867 | D 6 | rR:μσmM 0.08 0.74 0.00 10.00 | pL 0.035
U 65 | E 65 | F 020115 | FPS 2758 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.006
U 66 | E 66 | F 020439 | FPS 2915 | D 7 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 67 | E 67 | F 020706 | FPS 2600 | D 7 | rR:μσmM 0.06 0.64 0.00 10.00 | pL 0.010
U 68 | E 68 | F 021030 | FPS 2937 | D 7 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 69 | E 69 | F 021354 | FPS 2885 | D 7 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.046
U 70 | E 70 | F 021589 | FPS 2322 | D 7 | rR:μσmM 0.08 0.70 0.00 10.00 | pL 0.051
U 71 | E 71 | F 021913 | FPS 2377 | D 7 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.042
U 72 | E 72 | F 022111 | FPS 2333 | D 7 | rR:μσmM 0.09 0.76 0.00 10.00 | pL 0.020
U 73 | E 73 | F 022346 | FPS 2729 | D 7 | rR:μσmM 0.07 0.69 0.00 10.00 | pL 0.015
U 74 | E 74 | F 022670 | FPS 3018 | D 7 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.061
U 75 | E 75 | F 022994 | FPS 2866 | D 8 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 76 | E 76 | F 023318 | FPS 2899 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.034
U 77 | E 77 | F 023642 | FPS 2832 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.016
U 78 | E 78 | F 023966 | FPS 2537 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.058
U 79 | E 79 | F 024290 | FPS 2763 | D 8 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 80 | E 80 | F 024614 | FPS 2880 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.035
U 81 | E 81 | F 024938 | FPS 2809 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 82 | E 82 | F 025262 | FPS 2933 | D 8 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.005
U 83 | E 83 | F 025586 | FPS 2968 | D 8 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
