/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-4 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 4 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-4', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=4, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 40 | E 40 | F 012015 | FPS 2855 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.025
U 41 | E 41 | F 012339 | FPS 2887 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.011
U 42 | E 42 | F 012663 | FPS 2851 | D 4 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.006
U 43 | E 43 | F 012987 | FPS 2922 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 44 | E 44 | F 013311 | FPS 2832 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.030
U 45 | E 45 | F 013635 | FPS 2947 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.001
U 46 | E 46 | F 013959 | FPS 2942 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
U 47 | E 47 | F 014073 | FPS 2638 | D 4 | rR:μσmM 0.18 1.01 0.00 10.00 | pL 0.020
U 48 | E 48 | F 014397 | FPS 2975 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.030
U 49 | E 49 | F 014721 | FPS 2964 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 50 | E 50 | F 014930 | FPS 2857 | D 5 | rR:μσmM 0.08 0.73 0.00 10.00 | pL 0.010
U 51 | E 51 | F 015254 | FPS 2905 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 52 | E 52 | F 015578 | FPS 2814 | D 5 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 53 | E 53 | F 015902 | FPS 2895 | D 5 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.025
U 54 | E 54 | F 016091 | FPS 2796 | D 5 | rR:μσmM 0.08 0.77 0.00 10.00 | pL 0.016
U 55 | E 55 | F 016415 | FPS 2568 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.088
U 56 | E 56 | F 016739 | FPS 2859 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.088
U 57 | E 57 | F 017063 | FPS 2970 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.037
U 58 | E 58 | F 017387 | FPS 2929 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.061
U 59 | E 59 | F 017711 | FPS 2913 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.047
U 60 | E 60 | F 018035 | FPS 2966 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 61 | E 61 | F 018359 | FPS 2859 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 62 | E 62 | F 018683 | FPS 2903 | D 6 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.024
U 63 | E 63 | F 019007 | FPS 2890 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.005
U 64 | E 64 | F 019331 | FPS 2950 | D 6 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.000
U 65 | E 65 | F 019655 | FPS 2801 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 66 | E 66 | F 019979 | FPS 2782 | D 6 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 67 | E 67 | F 020303 | FPS 2853 | D 7 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.005
U 68 | E 68 | F 020389 | FPS 2370 | D 7 | rR:μσmM 0.19 1.13 0.00 10.00 | pL 0.046
U 69 | E 69 | F 020713 | FPS 2899 | D 7 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 70 | E 70 | F 021037 | FPS 2855 | D 7 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 71 | E 71 | F 021361 | FPS 2811 | D 7 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.024
U 72 | E 72 | F 021685 | FPS 2869 | D 7 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 73 | E 73 | F 022009 | FPS 2708 | D 7 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.020
U 74 | E 74 | F 022333 | FPS 2931 | D 7 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.025
U 75 | E 75 | F 022657 | FPS 2885 | D 7 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.026
U 76 | E 76 | F 022981 | FPS 2822 | D 7 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 77 | E 77 | F 023305 | FPS 2849 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 78 | E 78 | F 023629 | FPS 2844 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.016
U 79 | E 79 | F 023953 | FPS 2914 | D 8 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 80 | E 80 | F 024277 | FPS 2879 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 81 | E 81 | F 024601 | FPS 2959 | D 8 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 82 | E 82 | F 024925 | FPS 2746 | D 8 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.000
U 83 | E 83 | F 025249 | FPS 2914 | D 8 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 84 | E 84 | F 025573 | FPS 2852 | D 8 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.029
U 85 | E 85 | F 025897 | FPS 2982 | D 8 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.005
U 86 | E 86 | F 026221 | FPS 2890 | D 9 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 87 | E 87 | F 026545 | FPS 2744 | D 9 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 88 | E 88 | F 026869 | FPS 2928 | D 9 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 89 | E 89 | F 027193 | FPS 2869 | D 9 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 90 | E 90 | F 027517 | FPS 2886 | D 9 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.029
U 91 | E 91 | F 027841 | FPS 2670 | D 9 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 92 | E 92 | F 027997 | FPS 2698 | D 9 | rR:μσmM 0.10 0.84 0.00 10.00 | pL 0.021
U 93 | E 93 | F 028321 | FPS 2956 | D 9 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.061
U 94 | E 94 | F 028645 | FPS 3012 | D 9 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 95 | E 95 | F 028969 | FPS 2782 | D 10 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.019
U 96 | E 96 | F 029293 | FPS 2824 | D 10 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 97 | E 97 | F 029617 | FPS 2890 | D 10 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.031
U 98 | E 98 | F 029941 | FPS 2953 | D 10 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.025
U 99 | E 99 | F 030252 | FPS 2925 | D 10 | rR:μσmM 0.05 0.60 0.00 10.00 | pL 0.015
U 100 | E 100 | F 030576 | FPS 2908 | D 10 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
Status saved
U 101 | E 101 | F 030847 | FPS 2726 | D 10 | rR:μσmM 0.06 0.64 0.00 10.00 | pL 0.010
U 102 | E 102 | F 031171 | FPS 2966 | D 10 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 103 | E 103 | F 031495 | FPS 2955 | D 10 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.020
U 104 | E 104 | F 031819 | FPS 2891 | D 11 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.007
U 105 | E 105 | F 032143 | FPS 2851 | D 11 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 106 | E 106 | F 032467 | FPS 2883 | D 11 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 107 | E 107 | F 032791 | FPS 2875 | D 11 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.037
U 108 | E 108 | F 033115 | FPS 2836 | D 11 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.043
U 109 | E 109 | F 033439 | FPS 2861 | D 11 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.016
U 110 | E 110 | F 033763 | FPS 2725 | D 11 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.041
U 111 | E 111 | F 034087 | FPS 2923 | D 11 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.022
U 112 | E 112 | F 034411 | FPS 2955 | D 11 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.037
U 113 | E 113 | F 034735 | FPS 2830 | D 12 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.018
U 114 | E 114 | F 035059 | FPS 3012 | D 12 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.002
U 115 | E 115 | F 035321 | FPS 2776 | D 12 | rR:μσmM 0.06 0.65 0.00 10.00 | pL 0.001
U 116 | E 116 | F 035645 | FPS 2911 | D 12 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 117 | E 117 | F 035969 | FPS 2933 | D 12 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.020
U 118 | E 118 | F 036134 | FPS 2727 | D 12 | rR:μσmM 0.10 0.82 0.00 10.00 | pL 0.024
U 119 | E 119 | F 036396 | FPS 2568 | D 12 | rR:μσmM 0.06 0.65 0.00 10.00 | pL 0.024
U 120 | E 120 | F 036720 | FPS 2970 | D 12 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.061
U 121 | E 121 | F 037044 | FPS 2894 | D 12 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.053
U 122 | E 122 | F 037368 | FPS 2808 | D 13 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.026
U 123 | E 123 | F 037692 | FPS 2812 | D 13 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.007
U 124 | E 124 | F 038016 | FPS 2821 | D 13 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.012
U 125 | E 125 | F 038340 | FPS 2913 | D 13 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.011
U 126 | E 126 | F 038664 | FPS 2803 | D 13 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.035
U 127 | E 127 | F 038988 | FPS 2837 | D 13 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.024
U 128 | E 128 | F 039293 | FPS 2697 | D 13 | rR:μσmM 0.07 0.62 0.00 10.00 | pL 0.020
U 129 | E 129 | F 039617 | FPS 2864 | D 13 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 130 | E 130 | F 039941 | FPS 2877 | D 13 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 131 | E 131 | F 040265 | FPS 2899 | D 14 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 132 | E 132 | F 040589 | FPS 2892 | D 14 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.024
U 133 | E 133 | F 040675 | FPS 2553 | D 14 | rR:μσmM 0.16 1.11 0.00 10.00 | pL 0.006
U 134 | E 134 | F 040999 | FPS 2676 | D 14 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.042
U 135 | E 135 | F 041323 | FPS 2882 | D 14 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.005
U 136 | E 136 | F 041647 | FPS 2989 | D 14 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 137 | E 137 | F 041971 | FPS 2837 | D 14 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.015
U 138 | E 138 | F 042295 | FPS 2731 | D 14 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 139 | E 139 | F 042518 | FPS 2705 | D 14 | rR:μσmM 0.09 0.73 0.00 10.00 | pL 0.019
U 140 | E 140 | F 042842 | FPS 2834 | D 14 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.031
U 141 | E 141 | F 043166 | FPS 3012 | D 15 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.030
U 142 | E 142 | F 043490 | FPS 3016 | D 15 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.016
U 143 | E 143 | F 043814 | FPS 2827 | D 15 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 144 | E 144 | F 043980 | FPS 2791 | D 15 | rR:μσmM 0.10 0.82 0.00 10.00 | pL 0.010
U 145 | E 145 | F 044304 | FPS 2925 | D 15 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.042
U 146 | E 146 | F 044628 | FPS 2860 | D 15 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.016
U 147 | E 147 | F 044952 | FPS 2903 | D 15 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.011
U 148 | E 148 | F 045276 | FPS 2653 | D 15 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.011
U 149 | E 149 | F 045600 | FPS 2954 | D 15 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.006
U 150 | E 150 | F 045924 | FPS 2787 | D 16 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.052
U 151 | E 151 | F 046248 | FPS 3021 | D 16 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.012
U 152 | E 152 | F 046572 | FPS 2824 | D 16 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.027
U 153 | E 153 | F 046896 | FPS 2859 | D 16 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.029
U 154 | E 154 | F 047220 | FPS 2873 | D 16 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 155 | E 155 | F 047544 | FPS 2833 | D 16 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.010
U 156 | E 156 | F 047868 | FPS 2898 | D 16 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 157 | E 157 | F 048192 | FPS 2669 | D 16 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 158 | E 158 | F 048516 | FPS 3000 | D 16 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 159 | E 159 | F 048840 | FPS 2900 | D 17 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 160 | E 160 | F 049109 | FPS 2881 | D 17 | rR:μσmM 0.06 0.64 0.00 10.00 | pL 0.017
U 161 | E 161 | F 049433 | FPS 2820 | D 17 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.013
U 162 | E 162 | F 049757 | FPS 2870 | D 17 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 163 | E 163 | F 050081 | FPS 2897 | D 17 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.022
U 164 | E 164 | F 050227 | FPS 2680 | D 17 | rR:μσmM 0.10 0.85 0.00 10.00 | pL 0.013
