/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-10FourDoor-v0 --algo dqn --model dqn-2 --frames 1000000 --procs 16 --batch-size 300 --max-memory 2500 --seed 2 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-10FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=2500, mem=False, model='dqn-2', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=100, seed=2, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000256 | FPS 2528 | D 0 | rR:μσmM 0.05 0.65 0.00 10.00 | pL 0.060
U 2 | E 2 | F 000580 | FPS 3132 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.366
U 3 | E 3 | F 000904 | FPS 3180 | D 0 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.060
U 4 | E 4 | F 001228 | FPS 3131 | D 0 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.012
U 5 | E 5 | F 001552 | FPS 3117 | D 0 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 6 | E 6 | F 001876 | FPS 3022 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.016
U 7 | E 7 | F 002200 | FPS 3038 | D 0 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.010
U 8 | E 8 | F 002524 | FPS 3131 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.042
U 9 | E 9 | F 002848 | FPS 3166 | D 0 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 10 | E 10 | F 003172 | FPS 3130 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.025
U 11 | E 11 | F 003496 | FPS 3268 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.011
U 12 | E 12 | F 003820 | FPS 3132 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.001
U 13 | E 13 | F 004144 | FPS 3067 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 14 | E 14 | F 004468 | FPS 3123 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.024
U 15 | E 15 | F 004792 | FPS 3136 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.005
U 16 | E 16 | F 005116 | FPS 2969 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.025
U 17 | E 17 | F 005440 | FPS 2898 | D 1 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.010
U 18 | E 18 | F 005764 | FPS 2926 | D 1 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.030
U 19 | E 19 | F 006088 | FPS 2988 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.010
U 20 | E 20 | F 006160 | FPS 2299 | D 2 | rR:μσmM 0.22 1.23 0.00 10.00 | pL 0.005
U 21 | E 21 | F 006484 | FPS 2884 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.000
U 22 | E 22 | F 006808 | FPS 2979 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 23 | E 23 | F 007132 | FPS 2999 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.019
U 24 | E 24 | F 007456 | FPS 2824 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.015
U 25 | E 25 | F 007780 | FPS 2892 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.000
U 26 | E 26 | F 008104 | FPS 2949 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.020
U 27 | E 27 | F 008428 | FPS 2818 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.019
U 28 | E 28 | F 008752 | FPS 3017 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 29 | E 29 | F 009076 | FPS 2944 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | pL 0.010
U 30 | E 30 | F 009400 | FPS 2874 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.005
U 31 | E 31 | F 009724 | FPS 2953 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.005
U 32 | E 32 | F 010048 | FPS 2990 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.029
U 33 | E 33 | F 010372 | FPS 2938 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.029
U 34 | E 34 | F 010572 | FPS 2774 | D 3 | rR:μσmM 0.07 0.73 0.00 10.00 | pL 0.024
U 35 | E 35 | F 010896 | FPS 2882 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.005
U 36 | E 36 | F 011220 | FPS 2836 | D 3 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.015
U 37 | E 37 | F 011544 | FPS 2865 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.019
U 38 | E 38 | F 011868 | FPS 2988 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.024
U 39 | E 39 | F 012192 | FPS 2944 | D 4 | rR:μσmM 0.01 0.11 0.00 2.00 | pL 0.010
U 40 | E 40 | F 012516 | FPS 2959 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.015
U 41 | E 41 | F 012840 | FPS 2928 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.037
U 42 | E 42 | F 013164 | FPS 2917 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 43 | E 43 | F 013488 | FPS 2999 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 44 | E 44 | F 013812 | FPS 2856 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.010
U 45 | E 45 | F 014136 | FPS 2756 | D 4 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 46 | E 46 | F 014410 | FPS 2846 | D 4 | rR:μσmM 0.08 0.67 0.00 10.00 | pL 0.039
